TaskID,Stage,Required,CurrentlyAvailable,BlocksSourceNativeScoring,BlockingIssue,NextAction,ExpectedOutput,LockedK2Changed,RhoGreaterThan4Allowed,K1RefitAllowed,MeasurementValidationAllowed,ClaimBoundary
SN_INPUT_VALIDATE,input_validation,True,True,False,none,"validate Pantheon+ redshift, distance-modulus, and covariance columns",evidence/source_native_sn_input_validation.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
BAO_INPUT_VALIDATE,input_validation,True,True,False,none,validate DESI DR1/DR2 BAO covariance and upstream radial BAO table,evidence/source_native_bao_input_validation.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
RUNTIME_NUMERIC_STACK,runtime_validation,True,True,False,none,install or select runtime with numpy and pandas,evidence/source_native_runtime_validation.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
SYMBOLIC_REGRESSION_ENGINE,runtime_validation,True,True,False,none,choose PySR/cp3-bench route or request author expression exports,evidence/source_native_symbolic_regression_runtime.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
SOURCE_NATIVE_TRAINING_DATASETS,training_input_export,True,True,False,none,export public SN D-proxy and radial BAO H_D-proxy training inputs for the reproduction route,data/physical_nulls/backreaction_reproduction/source_native_training_sn_distance_proxy.csv;data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
DERIVATIVE_PILOT_PREFLIGHT,formula_path_stress_test,False,True,False,none,build fixed polynomial derivative pilot from public SN/BAO training inputs without fitting K2,data/physical_nulls/backreaction_reproduction/source_native_derivative_pilot_reconstruction_vector.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
DERIVATIVE_PILOT_UNCERTAINTY,formula_path_stress_test,False,True,False,none,bootstrap the fixed polynomial derivative pilot using public diagonal training-input errors,data/physical_nulls/backreaction_reproduction/source_native_derivative_pilot_bootstrap_omega_samples.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
D_RECONSTRUCTION_FAMILY,reconstruction,True,False,True,D_Dprime_Ddoubleprime_symbolic_family_missing,"reproduce or obtain symbolic expressions for D,D_prime,D_double_prime from Pantheon+",data/physical_nulls/backreaction_reproduction/source_native_D_family_samples.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
HD_RECONSTRUCTION_FAMILY,reconstruction,True,False,True,HD_HDprime_symbolic_family_missing,"reproduce or obtain symbolic expressions for H_D,H_D_prime from BAO families",data/physical_nulls/backreaction_reproduction/source_native_HD_family_samples.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
FAMILY_METADATA_EXPORT,metadata,True,False,True,selection_family_metadata_missing,provide source_native_selection_metadata.csv using the generated template,data/physical_nulls/backreaction_reproduction/source_native_selection_metadata.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
BACKREACTION_VECTOR_EXPORT,formula_application,True,False,True,source_native_omega_vector_missing,provide valid source_native_reconstruction_vector.csv; validator will apply fixed formula,data/physical_nulls/backreaction_reproduction/source_native_backreaction_vector.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
BACKREACTION_COVARIANCE_EXPORT,uncertainty,True,False,True,source_native_covariance_or_bootstrap_missing,export bootstrap samples and/or covariance for Omega_R_plus_3Omega_Q,data/physical_nulls/backreaction_reproduction/source_native_backreaction_covariance.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
K2_BRIDGE_SOURCE_NATIVE_SCORE,bridge_scoring,True,False,True,source_native_vector_and_covariance_missing,score source-native backreaction bridge against locked K2 without changing K2,evidence/source_native_backreaction_bridge_scorecard.csv,False,False,False,False,source_native_reproduction_task_queue_no_measurement_validation
